คำที่ลูกค้าพิมพ์,ชื่อมาตรฐานในระบบ,หน่วยมาตรฐาน,,ชื่อสินค้าอัพเดท 05/06/69
"สัปปะรดหอมสุวรรณ, สับปะรดหอมสุวรรณ, สัปะรดหอมสุวรรณ, MD2, MD2 pineapple",สับปะรดหอมสุวรรณ | HOMSUWAN PINEAPPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,สับปะรดหอมสุวรรณ | HOMSUWAN PINEAPPLE
,อโวคาโด แฮส | HASS AVOCADO Tray,,,อโวคาโด แฮส | HASS AVOCADO Tray
"อโวคาโอ,อโวคาโด แฮส,  อะโวคาโด, avocado, Avocado, อโวคาโด้, อโวคาโด้ แฮส, อโวคาโด้แฮส, avo",อโวคาโด แฮส | HASS AVOCADO Pcs.,"ลูก, pcs",,อโวคาโด แฮส | HASS AVOCADO Pcs.
"องุ่นไชน์มัสแคท, shine muscat",องุ่นไชน์มัสแคท | SHINE MUSCAT,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,องุ่นไชน์มัสแคท | SHINE MUSCAT
"องุ่นแดงไร้เมล็ด, องุ่นแดง, แดงไร้เมล็ด, red grape sl, red grape seedless",องุ่นแดงไร้เมล็ด | RED GRAPE SL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,องุ่นแดงไร้เมล็ด | RED GRAPE SL
"องุ่นเขียวไร้เมล็ด, องุ่นเขียว, องุ่นเขียวไร้เมล็ด, green grape sl, green grape seedless",องุ่นเขียวไร้เมล็ด | GREEN GRAPE SL,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,องุ่นเขียวไร้เมล็ด | GREEN GRAPE SL
"ฟิก, ลูกฟิกส์, ฟิกส์, Fig, มะเดื่อฝรั่ง",ลูกฟิก | FIG,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ลูกฟิก | FIG
"แตงโม, แตงโมแดง, watermelon",แตงโมแดง | Watermelon,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แตงโมแดง | Watermelon
"เสาวรส, passion fruit",เสาวรส | PASSION FRUIT,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,เสาวรส | PASSION FRUIT
,แอปเปิ้ลเขียว | GREEN APPLE BOX,,,แอปเปิ้ลเขียว | GREEN APPLE BOX
"แอปเปิ้ลเขียว, แอปเปิลเขียว, green apple",แอปเปิ้ลเขียว | GREEN APPLE ,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แอปเปิ้ลเขียว | GREEN APPLE 
,แอปเปิ้ลกาล่า | GALA APPLE BOX #80,,,แอปเปิ้ลกาล่า | GALA APPLE BOX #80
"แอปเปิ้ลกาล่า, แอปเปิลกาล่า, แอปเปิ้ลกาลา, แอปเปิลกาลา, แอปเปิลแดง, apple gala, red apple",แอปเปิ้ลกาล่า | GALA APPLE (แดง),"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แอปเปิ้ลกาล่า | GALA APPLE (แดง)
"แอปเปิ้ลฟูจิ, แอปเปิลฟูจิ, apple fuji, fuji apple",แอปเปิ้ลฟูจิ | FUJI APPLE,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แอปเปิ้ลฟูจิ | FUJI APPLE
"ส้มโอขาว, white pomelo, pomelo",ส้มโอขาว | WHITE POMELO,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มโอขาว | WHITE POMELO
"ส้มโอขาวจับโบ้, ส้มโอขาวใหญ่, big pomelo, white pomelo jumbo, jumbo white pomelo",ส้มโอขาว | WHITE POMELO JUMBO,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มโอขาว | WHITE POMELO JUMBO
"ฝรั่ง, Guava",ฝรั่ง | Guava,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ฝรั่ง | Guava
"แพร์แดง, ลูกแพรแดง, แพรแดง, red pear",แพร์แดง | RED PEAR,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,แพร์แดง | RED PEAR
"ดอกไม้กินได้, edible flower, edible flowers",ดอกไม้กินได้ | MIX EDIBLE FLOWERS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ดอกไม้กินได้ | MIX EDIBLE FLOWERS
"ต้นอ่อนทานตะวัน, ต้นทานตะวัน, ต้นอ่อน, sunflower sprouts, sunflower",ต้นอ่อนทานตะวัน | SUNFLOWER SPROUTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นอ่อนทานตะวัน | SUNFLOWER SPROUTS
ต้นอ่อนผักบุ้ง,ต้นอ่อนผักบุ้ง | MORNING GLORY SPROUTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นอ่อนผักบุ้ง | MORNING GLORY SPROUTS
"ผักน้ำ, watercress",ผักน้ำ | WATERCRESS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักน้ำ | WATERCRESS
"ต้นอ่อนกะหล่ำม่วง, red cabbage sprouts",ต้นอ่อนกะหล่ำม่วง | RED CABBAGE SPROUTS,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ต้นอ่อนกะหล่ำม่วง | RED CABBAGE SPROUTS
"มะเขือเทศแฟนซี, Fancy tomato, Tomato fancy, tomato fancy",มะเขือเทศแฟนซี | FANCY TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศแฟนซี | FANCY TOMATO
"สาลี่, สาลี, pear",สาลี่ | PEAR,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สาลี่ | PEAR
"เชอร์รี่, เชอรรี่, เชอรี่, cherry",เชอร์รี่ | CHERRY,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เชอร์รี่ | CHERRY
"มะม่วงดิบ, raw mango, green mango",มะม่วงดิบ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะม่วงดิบ
"มังคุด, magosteen",มังคุด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มังคุด
"มะพร้าวควั่นติดเขียว, มะพร้าวเขียว, มะพร้าวน้ำหอมเขียว, มะพร้าวน้ำหอมควั่นเขียว, มะพร้าวควั่น, coconut, fresh coconut, diamond shape coconut",มะพร้าวน้ำหอม ควั่นติดเขียว,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,มะพร้าวน้ำหอม ควั่นติดเขียว
"ยี่หร่าฝรั่ง, เฟนเนล, เฟลเนล, fennel",ยี่หร่าฝรั่ง | Fennel,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ยี่หร่าฝรั่ง | Fennel
"ผักโขมป๊อปอาย, popeye spinach",ผักโขมป๊อปอาย | Popeye Spinach,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักโขมป๊อปอาย | Popeye Spinach
"ข้าวโพดหวานแกะเมล็ด, ข้าวโพดหวานแกะเม็ด",ข้าวโพดหวานแกะเมล็ด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวโพดหวานแกะเมล็ด
"มะขามหวาน, Sweet tamarind",มะขามหวาน,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะขามหวาน
"เห็ดนางรมหลวง, เห็ดนางรมหลวง ออรินจิ",เห็ดนางรมหลวง (ออรินจิ),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดนางรมหลวง (ออรินจิ)
"สตอเบอร์รี่แช่แข็ง, สตอเบอรรี่แช่แข็ง, frozen strawberry",สตอเบอรี่แช่แข็ง,แพ็ค,,สตอเบอรี่แช่แข็ง
"สับปะรด ปัตตาเวีย, สัปปะรด ปัตตาเวีย, pattavia pineapple",สับปะรด ปัตตาเวีย,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สับปะรด ปัตตาเวีย
"ส้มวาเลนเซีย, valencia orange",ส้มวาเลนเซีย,"กก, กรัม, Kg, g., ลูก,กิโล, กิโลกรัม, โล",,ส้มวาเลนเซีย
"เลมอน, เลม่อน, lemon",เลมอน | LEMON Pcs.,ลูก,,เลมอน | LEMON Pcs.
"มะเขือม่วงก้านดำ, purple eggplant black stem",มะเขือม่วงก้านดำ | PURPLE EGGPLANT BLACK STEM,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือม่วงก้านดำ
เห็ดเข็มทอง 200g.,เห็ดเข็มทอง 200g.,,,เห็ดเข็มทอง 200g.
"เผือกหอม, เผือก, taro, taro root",เผือกหอม | Taro Root,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เผือกหอม | Taro Root
"หน่อไม้ฝรั่ง ขาว, หน่อไม้ฝรั่งขาว, white asparagus",หน่อไม้ฝรั่ง ขาว | White Asparagus,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หน่อไม้ฝรั่ง ขาว
"ข้าวคั่ว ไร้ทิพย์, ข้าวคั่ว",ข้าวคั่ว ไร่ทิพย์ 500g/Pack,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวคั่ว ไร่ทิพย์ 500g/Pack
"โอชุ่น, โอชุน, โอโซน, โอซุ่น, wosun",โอชุ่น | Wosun,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,โอชุ่น | Wosun
"กล้วย Frozen, กล้วยแช่แข็ง, กล้วยโพเซน, frozen sliced banana",กล้วยหั่นแว่นแช่แข็ง | Frozen Sliced Banana,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กล้วยหั่นแว่นแช่แข็ง | Frozen Sliced Banana
"ผักชีจีน, chinese coriander",ผักชีจีน | Chinese Coriander ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ผักชีจีน | Coriander Chinese
เห็ดเข็มทอง,เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 1 KG,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 1 KG
"หัวไชเท้าญี่ปุ่น, Daikon",หัวไชเท้าญี่ปุ่น |  Daikon ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หัวไชเท้าญี่ปุ่น |  Daikon 
หอมเจียว,หอมเจียว 500g. ไร่ทิพย์,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หอมเจียว 500g. ไร่ทิพย์
"ส้มจี๊ด, ส้มมะปี๊ด",ส้มจิ๊ด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ส้มจิ๊ด
"เกรปฟรุ๊ต, grapefruit","เกรปฟรุ๊ต | Grapefruit 
","กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,"เกรปฟรุ๊ต | Grapefruit 
"
"กล้วยน้ำหว้า, กล้วยน้ำว้า",กล้วยน้ำหว้า,"หวี, กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กล้วยน้ำหว้า
"เบบี้สปิแนช, Baby Spinach, Baby สปีแนช, เบบี้ผักโขม, baby spinach",เบบี้ผักโขม | Baby spinach,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เบบี้ผักโขม | Baby spinach
"หน่อไม้สด, หน่อไม้",หน่อไม้สด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หน่อไม้สด
"ซาลาเปาชีส, เต้าหู้ชีส ",ซาลาเปาชีส PFP,แพ็ค,,ซาลาเปาชีส PFP
วุ้นเส้น,วุ้นเส้น กิเลนคู่ 500 กรัม ,"แพ็ค, แพค",,วุ้นเส้น กิเลนคู่ 500 กรัม 
"มาม่าเปลือย, มาม่านู้ด, มาม่านู๊ด, มาม่าเปล่า, มาม่า",มาม่าเปลือย KKK,แพ็ค,,มาม่าเปลือย KKK
"ฟองเต้าหู้ ซีฟู๊ด, ฟองเต้าหู้ซีฟู๊ด, ฟองเต้าชีฟู๊ด",ฟองเต้าหู้ ซีฟู๊ด PFP,แพ็ค,,ฟองเต้าหู้ ซีฟู๊ด PFP
"ฟรีเช่, ฟรีเซ่, frisee ",ฟรีเซ่ | Frisée Lettuce,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฟรีเซ่ | Frisée Lettuce
"น้ำย่านาง, น้ำใบย่านาง",น้ำย่านาง ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,น้ำย่านาง 
"รากบัวสด, fresh lotus root",รากบัวสด | Lotus Root,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,รากบัวสด | Lotus Root
"รากบัวแช่แข็ง, รากบัว",รากบัวแช่แข็ง | Frozen Lotus Root Sliced,"แพ็ค, กก",,รากบัวแช่แข็ง | Frozen Lotus Root Sliced
"มันหวานญี่ปุ่น, sweet potato",มันหวานญี่ปุ่น,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มันหวานญี่ปุ่น
"ฮ่องเต้ ต้นใหญ่, เบบี้กวางตุ้ง, กวางตุ้งฮ่องเต้, กวางตุงเบบี๋, กวางตุ้งเบบี้, กวางตุ้ง เบบี้, กวางตุ้งเบบี๋, กวางตุ้งฮ่องเต้, ฮ่องเต้",ฮ่องเต้ (ต้นใหญ่),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ฮ่องเต้ (ต้นใหญ่)
"กุ้งสด, fresh prawn",กุ้งสด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กุ้งสด
"ถุง 7*12, ถุง 7x12",ถุง 7x12,แพ็ค,,ถุง 7x12
"หมูหมักงา, หมูหมักน้ำมันงาแช่แข็ง, หมูหมักน้ำมันงา",หมูหมักน้ำมันงาแช่แข็ง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,หมูหมักน้ำมันงาแช่แข็ง
ส้นในไก่,สันในไก่,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,สันในไก่
"ปีกบนไก่, ปีกไก่บน",ปีกบนไก่,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ปีกบนไก่
"ข้าวเหนียว, ข้าวเหนียวเขี้ยวงู",ข้าวเหนียวเขี้ยวงู,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ข้าวเหนียวเขี้ยวงู
"ถุง 5*8, ถุง 5x8, ถุงร้อน 5x8, ถุงร้อน 5*8",ถุงร้อน  5X8,"แพ็ค, ชิ้น",,ถุงร้อน  5X8
"น้ำปราร้า, น้ำปลาร้าไมค์",น้ำปลาร้า ตราไมค์ 330ml.,ขวด,,น้ำปลาร้า ตราไมค์ 330ml.
"เบคอน ไส้กรอก, เบค่อน, เบคอน, bacon, เบคอนพันไส้กรอก",เบคอนพันไส้กรอก 500G | Cocktail Rolled Bacon,"แพ็ค, ชิ้น",,เบค่อน ไส้กรอก 500 G
"หนังยางแดง, หนังยาง, ยางแดง, หนังยางวงเล็ก",ยางสีแดง (วงเล็ก),"แพ็ค, ชิ้น",,ยางแดงวงเล็ก
"โค๊ก, coke ",โค้กกระป๋อง 325ml. X6,"แพ็ค, ชิ้น",,โค๊ก กระป๋อง 325ml. (6 กระป๋อง/แพ็ค)
"ลำไย, longan, fresh longan",ลำไย,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ลำไย
ชมพู่,ชมพู่,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ชมพู่
"มะพร้าวน้ำหอม, มะพร้าวควั่นขาว, มะพร้าวขาว, มะพร้าวน้ำหอมควั่นขาว",มะพร้าวน้ำหอม ควั่นขาว,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะพร้าวน้ำหอม ควั่นขาว
"ทุเรียนหมอนทองแกะเนื้อ, fresh durian meat, durian freshcut",ทุเรียนหมอนทองแกะเนื้อ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ทุเรียนหมอนทองแกะเนื้อ
"มะเขือเทศแฟนซี สีเขียว, มะเขือเทศ แฟนซีสีเขียว, มะเขือเทศ แฟนซีเขียว",มะเขือเทศ แฟนซี (สีเขียว),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศ แฟนซี (สีเขียว)
"มะเขือเทศแฟนซีผสม, มะเขือเทศ แฟนซีผสม, มะเขือเทศ แฟนซีผสม",มะเขือเทศ แฟนซี (ผสม),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศ แฟนซี (ผสม)
"ถุงร้อน 3*5, ถุงร้อน 3x5, ถุง 3*5, ถุง 3x5, ถุงร้อน3x5",ถุงร้อน 3x5,แพ็ค,,ถุงร้อน 3x5
"ถุง 7*11, ถุง 7x11, ถุงร้อน 7*11, ถุงร้อน 7x11, ถุงรอ้น 7*11, ",ถุงร้อน 7x11,แพ็ค,,ถุงร้อน 7x11
เห็ดนางรม,เห็ดนางรม,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดนางรม
"พริกเผา, พริกเผาตราฉั่วฮะเส็ง",พริกเผาตราฉั่วฮะเส็ง,"กระป๋อง, ถุง",,พริกเผาตราฉั่วฮะเส็ง
"น้ำจิ้มสุกี้ขวด, น้ำจิ้มสุกี้โบราณ",น้ำจิ้มสุกี้โบราณ ศุภวรรณ,ขวด,,น้ำจิ้มสุกี่โบราณ
"น้ำมะนาวขวด, น้ำมะนาว, น้ำมะนาวแท้คั้นสด, น้ำมะนาวคั้นสด",น้ำมะนาวขวด,ขวด,,น้ำมะนาวขวด
"บลูเบอร์รี่แช่แข็ง, บลูเบอรี่แช่แข็ง, บูเบอร์รี่แช่แข็ง, บูเบอรี่แช่แข็ง, frozen blueberry",บลูเบอรี่แช่แข็ง,แพ็ค,,บลูเบอรี่แช่แข็ง
ขนมจีน,ขนมจีน,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ขนมจีน
"กะทิกล่อง, กะทิอร่อยดี, กะทิ",กะทิอร่อยดี 500 ml.,กล่อง,,กะทิอร่อยดี 500 ml.
ไก่บ้าน,ไก่บ้าน,ตัว,,ไก่บ้าน
"น้ำตาลปี๊บ, น้ำตาลปิ๊บ",น้ำตาลปิ๊บ,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,น้ำตาลปิ๊บ
"ไข่ไก่เบอร์ 2, ไข่ไก่เบอร์2, egg no2, egg no.2",ไข่ไก่ เบอร์ 2 | Chicken Egg no.2,แผง,,ไข่ไก่เบอร์ 2 
"ปีืนยิงแก๊ส, ปืนยิงแก๊ซ, ปืนยิงแกส, ปืนยิงแกซ",ปืนยิงแก๊ส,อัน,,ปืนยิงแก๊ส
"น้ำตาลทรายม น้ำตาลมิตรผล, น้ำตาลทรายขาว",น้ำตาลทราย มิตรผล 1 กก,"กก, กรัม, Kg, g., kg, ถุง, แพค, แพ็ค",,น้ำตาลทราย มิตรผล 1 กก
"มะเขือเทศราชินีเหลือง, มะเขือเทศราชินี สีเหลือง, 
มะเขือเทศราชินี เหลือง, yellow cherry tomato",มะเขือเทศราชินี เหลือง| YELLOW CHERRY TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศราชินี เหลือง| CHERRY TOMATO
"มะเขือเทศราชินีส้ม, มะเขือเทศราชินี สีส้ม, orange cherry tomato",มะเขือเทศราชินี ส้ม| ORANGE CHERRY TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศราชินี ส้ม| CHERRY TOMATO
"ถุง 2*18, ถุง 2x18",ถุง 2x18,แพ็ค,,ถุง 2x18
"มะเขือเทศราชินีเขียว, มะเขือเทศราชินี สีเขียว, green cherry tomato, 
มะเขือเทศโซลาริโน่เขียว, Solarino, green solarino",มะเขือเทศราชินี เขียว| GREEN CHERRY TOMATO,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศราชินี เขียว| CHERRY TOMATO
"มะยงชิด, มะยงชิต, marian plum, fresh marian plum",มะยงชิด,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะยงชิด
ไม้เสียบลูกชิ้น 6 นิ้ว,ไม้เสียบลูกชิ้น 6 นิ้ว,แพ็ค,,ไม้เสียบลูกชิ้น 6 นิ้ว
"ไข่นกกระทา, ไข่นกกะทาม, quial egg",ไข่นกกระทา | QUIAL EGG,ฟอง,,ไข่นกกระทา
"กระดูกขาวัว, กระดูกวัว, Cow Leg Bone",กระดูกข้อขาวัว | Cow Leg Bone,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กระดูกขาตั้งวัว
"ถุงร้อน 12*18, ถุง 12*18, ถุงร้อน 12x18, ถุง 12x18",ถุงร้อน 12x18,แพ็ค,,ถุงร้อน 12x18
"ไข่ไก่เบอร์ 4, egg no4, egg no.4",ไข่ไก่ เบอร์ 4 | Chicken Egg no.4,แผง,,ไข่ไก่เบอร์ 4
"ไข่ไก่เบอร์ 1, egg no1, egg no.1",ไข่ไก่ เบอร์ 1 | Chicken Egg no.1,แผง,,ไข่ไก่เบอร์ 1
"ปลานิน, ปลานิล, tilapia",ปลานิล | Tilapia,ตัว,,ปลานิล
"ข้าวสาร, ข้าวสวย",ข้าวสาร,กระสอบ,,ข้าวสาร
"กะหล่ำปลีช้าง, ปลีช้าง, กะหล่ำปลีพันธุ์ช้าง, กะหล่ำปลีพันธ์ช้าง, กะหล่ำช้าง",กะหล่ำปลีช้าง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,กะหล่ำปลีช้าง
"เห็ดหูหนูขาวแห้ง, หูหนูขาวแห้ง",เห็ดหูหนูขาวแห้ง 500g,"แพ็ค, แพค",,เห็ดหูหนูขาวแห้ง 500g
"ถุงซิป 5*7, ถุงซิป 5x7, ถุงซิปล็อก 5*7,ถุงซิปล็อก 5x7, ถุงซิปล็อก5*7cm",ถุงซิปล๊อค 5x7,"แพ็ค, แพค",,ถุงซิปล๊อค 5x7
"ถุงหิ้ว 12*20, ถุงหิ้ว 12x20, ถุงหิ้ว 12 × 20, ถุงหิ้ว 12*20,ถุงหิ้วใส 12*20, ถุงหิ้วใส 12x20",ถุงหิ้ว 12x20 เกรดบี เนื้อขุ่น หนา,"แพ็ค, แพค",,ถุงหิ้ว 12x20 เกรดบี เนื้อขุ่น หนา
"ถุงเย็น 6*9, ถุง 6*9, ถุง 6x9, ถุง 6x9",ถุงเย็น 6x9,"แพ็ค, แพค",,ถุงเย็น 6x9
"ถุงเย็น 5*8, ถุง 5*8, ถุง 5x8, ถุง 5x8",ถุงเย็น 5x8,"แพ็ค, แพค",,ถุงเย็น 5x8
"หลอดดูดน้ำ, หลอดน้ำ, หลอด",หลอดดูดน้ำยาวห่อกระดาษ,"แพ็ค, แพค",,หลอดดูดน้ำยาวห่อกระดาษ
"ถุงมือ, ถุงมือแพทย์สีดำ, ถุงมือแพทย์สีดำไซซ์ M, ถุงมือดำM",ถุงมือทำอาหารสีดำ size M,"แพ็ค, แพค, กล่อง",,ถุงมือทำอาหารสีดำ size M
"เห็ดเข็มทองตัดราก, เห็ดเข็มทอง (ตัดราก)",เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 1 KG (ตัดราก),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,เห็ดเข็มทอง | GOLDEN NEEDLE MUSHROOM 1 KG (ตัดราก)
"ถุงร้อน 8*16, ถุงร้อน 8x16, ถุง 8*16, ถุง 8x16",ถุงร้อน 8x16,"แพ็ค, แพค",,ถุงร้อน 8x16
"มะเขือเทศแฟนซี สีส้ม, มะเขือเทศแฟนซีส้ม, มะเขือเทศ แฟนซี ส้ม, มะเขือเทศ แฟนซี สีส้ม",มะเขือเทศ แฟนซี (สีส้ม),"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,มะเขือเทศ แฟนซี (สีส้ม)
"ไส้เป็ด, ใส้เป็ด, duck intestine",ไส้เป็ด | Duck Intestine,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,ไส้เป็ด
"ก้ามปู, ก้ามปูยักษ์, ก้ามปูยัก, ก้ามปูยักษ์แช่แข็ง  ",ก้ามปูยักษ์แช่แข็ง PFP,แพ็ค,,ก้ามปูยักษ์แช่แข็ง PFP
"ฟองเต้าหู้ชีส, ฟองหู้ชีส",ฟองเต้าหู้ชีส (ม่วง) PFP,แพ็ค,,ฟองเต้าหู้ชีส (ม่วง) PFP
"อะลูมิเนียมฟอย 45*90, อะลูมิเนียมฟรอย 45*90",อะลูมิเนียมฟอย 45x90,แพ็ค,,อะลูมิเนียมฟอย 45x90
"น้ำมันพืช ตราเกสร, น้ำมันปาล์มตราเกสร, น้ำมันเกสร",น้ำมันปาล์มตราเกสร,"ถุง, แพ็ค",,น้ำมันปาล์มตราเกสร
ถั่วลิสง,ถั่วลิสง ไร้ทิพย์ 500g,แพ็ค,,ถั่วลิสง ไร้ทิพย์ 500g
หลอด,หลอดพลาสติก,แพ็ค,,หลอดพลาสติก
"นมจืด, นมรสจืด, นมเมจิ",นมเมจิสดรสจืด MEIJI MILK PLAIN 2L.,"แกลลอน, ลิตร",,นมเมจิสดรสจืด MEIJI MILK PLAIN 2L.
"น้ำผึ้งสด, น้ำผึ้ง",น้ำผึ้ง,"กก, กรัม, Kg, g., kg, กิโล, กิโลกรัม, โล",,น้ำผึ้ง
"ถุงร้อน 6*4, ถุงร้อน 6x4, ถุง 6x4, ถุง 6*4",ถุงร้อน 6x4,แพ็ค,,ถุงร้อน 6x4
"ถุงเย็น 8*12, ถุงเย็น 8x12, ถุง 8x12, ถุง 8*12",ถุงเย็น 8x12,แพ็ค,,ถุงเย็น 8x12
"นมข้นจืด, นมคาร์เนชั่น, นมข้นจืดไข่เจียว, นมคาเนชั่นแบบข้นจืด, นมคาร์เนชันรูปไข่เจียว",นมข้นจืด (ไข่เจียว) ตราคาร์เนชั่น ขนาด 405g.,กล่อง,,นมข้นจืด (ไข่เจียว) ตราคาร์เนชั่น ขนาด 405g.
"โอ๊ตไซด์, นมโอ๊ต, OATSIDE, โอ้ตไซด์",OATSIDE น้ำนมข้าวโอ๊ต รสจืด 1L.,กล่อง,,OATSIDE น้ำนมข้าวโอ๊ต รสจืด 1L.
"น้ำมันปาล์มดอกไม้, น้ำมันดอกไม้, น้ำมันพืชดอกไม้",น้ำมันปาล์ม ตรา ดอกไม้,"ถุง, แพ็ค",,น้ำมันปาล์ม ตรา ดอกไม้
"น้ำปลาหอยเป๋าฮื้อ, น้ำปลาเป๋าฮื้อ, น้ำปลาตราหอยเป๋าฮื้อ",น้ำปลาแท้ ตราหอยเป๋าฮื้อ 300 มล.,ขวด,,น้ำปลาแท้ ตราหอยเป๋าฮื้อ 300 มล.
"เกลือแกง, เกลือไอโอดีน, เกลือบริโภค, เกลือ",เกลือบริโภคเสริมไอโอดีน 50g. x 12pcs (เกลือแกง),แถว,,เกลือบริโภคเสริมไอโอดีน 50g. x 12pcs (เกลือแกง)
"แป้งทอดกรอบ, โกกิ, แป้งโกกิ, แป้งชุบทอด",โกกิ แป้งทอดกรอบ 500g.,"ถุุง, แพค, แพ็ค",,โกกิ แป้งทอดกรอบ 500g.
